Card Name,Issuer,Joining Fee,Annual Fee,Eligibility (Income),Reward Description,Reward Rate (%),Interest Rate (p.m.),Key Features
HDFC Diners Club Black Metal Edition,HDFC Bank,10000.0,10000.0,2100000.0,"(waivable), requiring an annual income of INR21 lakh. It is a points-based card offering 5 points per",10.0,3.49,"INR150 spent (3.33% value) with 10X SmartBuy multipliers and 2X weekend dining. Points redeem at | INR1 per point for travel bookings or merchandise. Key features include unlimited domestic/international | lounge access for primary and add-on members, 6 complimentary golf games quarterly, low forex markup | p.m."
Axis Bank Reserve Credit Card,Axis Bank,50000.0,50000.0,12000000.0,"≥INR1.2 crore per annum income. It awards 30 EDGE points per INR200 spent (3% value), doubling to",3.0,3.4,"60 points on international spends. Points redeem at INR1 = 1 EDGE point for statement credit or travel. | Benefits include unlimited lounge access via Priority Pass, complimentary ITC Culinaire, Accorplus, Club | Marriott, and EazyDiner Prime memberships, Buy-One-Get-One BookMyShow tickets (5 per month), 50"
HDFC Infinia Metal Card,HDFC Bank,0.0,12500.0,2500000.0,"requirement. It delivers 3.3% base reward, up to 10X on SmartBuy. Points convert at INR1 per point for",3.3,3.49,"requirement. It delivers 3.3% base reward, up to 10X on SmartBuy. Points convert at INR1 per point for | travel or merchandise. Unlimited global lounge access, unlimited golf privileges, travel insurance, Club | Marriott membership, and 12,500 bonus points on welcome and renewal. Forex markup: 2%. Interest | rate: ~3.49% p.m."
ICICI Emeralde Private Metal Credit Card,ICICI Bank,12499.0,12499.0,2500000.0,"income. It grants 3 reward points per INR100 spent (3% value), bonus EazyDiner and Taj Epicure",3.0,3.4,"ICICI Bank’s Emeralde Private Metal charges INR12,499 for joining and renewal, requiring ≥INR25 lakh | memberships, unlimited lounge visits, monthly golf lessons, INR 3,000 EaseMyTrip vouchers at INR4 lakh | and INR8 lakh spend milestones, 1% fuel surcharge waiver, and 2% forex fee. Points redeem for travel or"
Standard Chartered Ultimate Credit Card,Standard Chartered Bank,5000.0,5000.0,1800000.0,"It provides 5 reward points per INR150 spent (3.33% value) and 5% duty-free cashback up to INR1,000",3.33,3.5,"It provides 5 reward points per INR150 spent (3.33% value) and 5% duty-free cashback up to INR1,000 | monthly. Points redeem 1:1 for statement credit. Features include 12 Priority Pass lounge visits on | INR20,000 monthly spends, 1 golf game+coaching monthly, up to INR1 crore travel accident cover, and | Travel Credit Cards"
Axis Atlas Credit Card,Axis Bank,5000.0,5000.0,1500000.0,"Miles per INR100 (2.5% value), 2.5X on travel. Miles transfer 1:1 to partner loyalty programs. Up to 12",2.5,3.4,"Miles per INR100 (2.5% value), 2.5X on travel. Miles transfer 1:1 to partner loyalty programs. Up to 12 | international and 18 domestic lounges yearly. Includes golf and travel concierge, 1.5% forex fee. Interest | rate: ~3.4% p.m."
HSBC TravelOne Credit Card,HSBC Bank,4999.0,4999.0,1200000.0,"HSBC’s TravelOne levies INR4,999 joining/annual fees for ≥INR12 lakh income. It offers 4 points per",2.0,3.5,"INR100 on flights, travel portals and forex (4% value), 2 points on other spends. Points equal 1 air mile or | hotel point, with 10,000 bonus points on INR12 lakh annual spends. Six domestic+four international | lounge visits, four golf rounds+12 lessons annually, INR 1,000 cashback, INR 3,000 Postcard Hotels"
MakeMyTrip ICICI Bank Platinum Credit Card,ICICI Bank,999.0,999.0,300000.0,"Joining/annual fee of INR999 for INR3 lakh income, it yields 6% myCash on hotel bookings (INR12 per",6.0,3.5,"INR200), 3% on flights/holidays, 25 myCash on train bookings. 0.99% forex fee. Benefits include 25% off | on second BookMyShow ticket monthly and INR1,000 MakeMyTrip voucher annually. myCash equals"
Yatra SBI Card,SBI Bank,499.0,499.0,8250.0,"benefit, INR4,000 off international tickets, INR1,000 off domestic flights, 20% off hotel bookings, 6 points",20.0,3.5,"benefit, INR4,000 off international tickets, INR1,000 off domestic flights, 20% off hotel bookings, 6 points | per INR100 on departmental store, grocery, dining, entertainment, and international spends. Forex fee:"
Standard Chartered EaseMyTrip Credit Card,Standard Chartered Bank,350.0,350.0,300000.0,"10% on flights via EaseMyTrip, flat INR125 off on bus bookings, 10 points per INR100 on standalone",10.0,3.5,"10% on flights via EaseMyTrip, flat INR125 off on bus bookings, 10 points per INR100 on standalone | Cashback Credit Cards"
